Teams,M,W,L,T,N/R,PT,NRR,Series Form,Next,For,Against
Royal Challengers Bengaluru,11,8,3,0,0,16,0.482,LWWWW,"vs LSG, SRH, KKR",1938/205.1,1863/207.5
Punjab Kings,11,7,3,0,1,15,0.376,WLNRWW,"vs DC, MI, RR",1835/188.1,1794/191.2
Mumbai Indians,11,7,4,0,0,14,1.274,WWWWW,"vs GT, PBKS, DC",1962/202.2,1846/219.1
Gujarat Titans,10,7,3,0,0,14,0.867,LWWLW,"vs MI, DC, LSG",1983/193.5,1829/195.2
Delhi Capitals,11,6,4,0,1,13,0.362,LWLLNR,"vs PBKS, GT, MI",1826/191.1,1818/197.5
Kolkata Knight Riders,11,5,5,0,1,11,0.249,LLNRWW,"vs CSK, SRH, RCB",1648/187.4,1614/189.1
Lucknow Super Giants,11,5,6,0,0,10,-0.469,LWLLL,"vs RCB, GT, SRH",2065/215.4,2141/213.1
Sunrisers Hyderabad,11,3,7,0,1,7,-1.192,LLWLNR,"vs KKR, RCB, LSG",1804/197.1,1889/182.4
Rajasthan Royals,12,3,9,0,0,6,-0.718,LLWLL,"vs CSK, PBKS",2206/235.5,2367/235.0
Chennai Super Kings,11,2,9,0,0,4,-1.117,WLLLL,"vs KKR, RR, GT",1841/218.4,1947/204.1
