Vasan,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32,day_33,day_34,day_35,day_36,day_37,day_38,day_39,day_40,day_41,day_42,day_43,day_44,day_45,day_46,day_47,day_48,day_49,day_50,day_51,day_52,day_53,day_54,day_55,day_56,day_57,day_58,day_59,day_60,day_61,day_62,day_63,day_64,day_65,day_66,day_67,day_68,day_69,day_70,day_71,day_72,day_73
k l rahul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,11.0,11.0,11.0,36.5,36.5,36.5,36.5,36.5,81.5,81.5,81.5,84.0,84.0,84.0,97.5,97.5,97.5,111.0,111.0,111.0,129.0,129.0,129.0,129.0,129.0,136.5,136.5,139.0,139.0,139.0,139.0,139.0,139.0,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,190.5,190.5,190.5,195.5,195.5,195.5,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0
mitchell starc,0.0,0.0,22.0,22.0,22.0,22.0,22.0,22.0,51.5,51.5,51.5,51.5,51.5,51.5,67.0,67.0,67.0,67.0,67.0,78.5,78.5,78.5,86.0,86.0,86.0,99.0,99.0,99.0,105.5,105.5,105.5,118.0,118.0,118.0,118.0,118.0,126.5,126.5,151.5,151.5,151.5,151.5,151.5,151.5,151.5,151.5,151.5,151.5,155.5,155.5,155.5,155.5,151.5,151.5,151.5,151.5,151.5,151.5,151.5,151.5,151.5,151.5,151.5,151.5,151.5,151.5,151.5,151.5,151.5,151.5,151.5,151.5,151.5
axar patel,0.0,0.0,19.5,19.5,19.5,19.5,19.5,19.5,31.5,31.5,31.5,31.5,31.5,31.5,43.5,43.5,43.5,43.5,43.5,59.0,59.0,59.0,68.0,68.0,68.0,99.0,99.0,99.0,111.5,111.5,111.5,134.0,134.0,134.0,134.0,134.0,156.0,156.0,189.5,189.5,189.5,189.5,189.5,189.5,192.0,192.0,192.0,192.0,194.0,194.0,194.0,194.0,192.0,192.0,192.0,192.0,192.0,205.5,205.5,205.5,205.5,205.5,205.5,205.5,205.5,205.5,205.5,205.5,205.5,205.5,205.5,205.5,205.5
glenn maxwell,0.0,0.0,0.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,23.0,23.0,23.0,23.0,42.0,42.0,42.0,49.5,49.5,49.5,49.5,55.0,55.0,55.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5
kagiso rabada,0.0,0.0,0.0,11.5,11.5,11.5,11.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,26.5,26.5,26.5,26.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5
khaleel ahmed,0.0,25.5,25.5,25.5,25.5,25.5,42.0,42.0,64.0,64.0,64.0,64.0,64.0,64.0,80.0,80.0,80.0,96.0,96.0,96.0,104.0,104.0,104.0,119.5,119.5,119.5,119.5,119.5,119.5,125.5,125.5,125.5,125.5,125.5,138.0,138.0,138.0,138.0,138.0,158.0,158.0,158.0,165.5,165.5,165.5,165.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,179.5,179.5,179.5,179.5,179.5,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0
karn sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,25.5,25.5,25.5,25.5,48.5,48.5,48.5,48.5,48.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0
rahmanullah gurbaz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,21.0,21.0,21.0,21.0,21.0,34.5,34.5,34.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5
prasidh krishna,0.0,0.0,0.0,6.0,6.0,6.0,6.0,27.0,27.0,27.0,27.0,46.0,46.0,46.0,46.0,62.0,62.0,62.0,84.5,84.5,84.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,127.0,127.0,148.5,148.5,148.5,148.5,148.5,148.5,148.5,159.0,159.0,159.0,159.0,178.5,178.5,178.5,178.5,194.5,194.5,194.5,194.5,194.5,194.5,194.5,194.5,194.5,194.5,194.5,194.5,204.0,204.0,204.0,204.0,210.0,210.0,210.0,232.0,232.0,232.0,232.0,232.0,246.0,246.0,246.0,246.0
ramandeep singh,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,19.5,19.5,19.5,19.5,19.5,19.5,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0
shubham dubey,0.0,16.5,16.5,16.5,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,21.5,21.5,21.5,21.5,21.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,36.0,36.0,36.0,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5
nehal wadhera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,21.5,21.5,21.5,42.0,42.0,42.0,45.5,45.5,45.5,45.5,54.0,54.0,54.0,59.0,59.0,59.0,79.5,79.5,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,88.0,88.0,88.0,88.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,129.0,129.0,129.0,129.0,129.0,129.0,131.5,131.5,134.0,134.0,134.0,136.5,136.5,136.5,156.0,156.0
liam livingstone,10.5,10.5,10.5,10.5,10.5,10.5,26.0,26.0,26.0,26.0,26.0,50.5,50.5,50.5,50.5,50.5,55.5,55.5,55.5,55.5,55.5,55.5,56.5,56.5,56.5,56.5,56.5,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0
abdul samad,0.0,0.0,0.0,0.0,0.0,14.5,14.5,14.5,14.5,14.5,27.5,27.5,27.5,32.5,32.5,32.5,32.5,35.0,35.0,35.0,35.0,35.0,35.0,42.0,42.0,42.0,42.0,42.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,77.5,77.5,77.5,77.5,77.5,80.0,80.0,80.0,80.0,80.0,80.0,80.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
